date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:34	67178/67178	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2010:45:19%20GMT	https://html.kodesolution.com/2025/digitaal-html/index.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/index.html	(from )
08:43:35	714/714	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Aug%202025%2003:43:35%20GMT	https://html.kodesolution.com/robots.txt		(from )
08:43:35	231866/231866	---MCZ	200	added ('OK')	text/css	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/css/bootstrap.min.css	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/css/bootstrap.min.css	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:35	572932/572932	---MCZ	200	added ('OK')	text/css	date:Tue,%2022%20Jul%202025%2003:57:22%20GMT	https://html.kodesolution.com/2025/digitaal-html/css/style.css	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/css/style.css	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:35	1112/1112	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/favicon.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/favicon.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:37	1809128/1809128	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/section-bg-shape1.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/section-bg-shape1.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:37	2763/2763	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/logo-2.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/logo-2.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:38	1891770/1891770	---M--	200	added ('OK')	image/png	date:Sat,%2010%20May%202025%2007:12:08%20GMT	https://html.kodesolution.com/2025/digitaal-html/images/icons/section-bg-shape2.png	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/images/icons/section-bg-shape2.png	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:39	69326/69326	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2010:45:19%20GMT	https://html.kodesolution.com/2025/digitaal-html/index-2.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/index-2.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
08:43:40	81627/81627	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jun%202025%2010:45:19%20GMT	https://html.kodesolution.com/2025/digitaal-html/index-3.html	C:/Users/ammar/Downloads/web%20copy/Digitaal/html.kodesolution.com/2025/digitaal-html/index-3.html	(from https://html.kodesolution.com/2025/digitaal-html/index.html)
